{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': '2024-12-12 10:06:41.343919', 'MESSAGE': ' \t\t\t\t', 'CALLER': 'info'}
{'TIMESTAMP': '2024-12-12 10:06:40', 'LEVEL': 'info', 'MODULE': 'CameraSystem', 'MESSAGE': ' \tgetCameraBlendTime: :playerCamera\t', 'CALLER': '[getCameraBlendTime]     GameApp/Camera/CameraSystem:795'}
{'TIMESTAMP': '2024-12-12 10:06:44', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:44', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tonUpperStateChange: nil, IDLE\t', 'CALLER': '[]     .../SpaceEntities/CommonComponent/ClientStateCheckComponent:860'}
{'TIMESTAMP': '2024-12-12 10:06:44', 'LEVEL': 'debug', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tset climbAcross height\t-0.010\t0\t0\t0\t0.900\t', 'CALLER': '[refreshClimbAcrossConfig]     Entities/SpaceEntities/ClientMainPlayer:423'}
{'TIMESTAMP': '2024-12-12 10:06:50', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:50', 'LEVEL': 'info', 'MODULE': 'HudView', 'MESSAGE': ' \tzyl pageId>>\t0\ttrue\t0\t', 'CALLER': '[switchGuideLabel]     Guis/Panels/Hud/HudView:205'}
{'TIMESTAMP': '2024-12-12 10:06:50', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:52', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:53', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:56', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:56', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:57', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:57', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:06:57', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:03', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:03', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tswitchToPlayer\t102\t', 'CALLER': '[switchToPlayer]     Entities/SpaceEntities/PlayerComponent/ClientPetsComponent:891'}
{'TIMESTAMP': '2024-12-12 10:07:03', 'LEVEL': 'info', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tdxk chooseNearbyPetPos\t-4.826\t0.003\t14.515\t3.005\t', 'CALLER': '[chooseNearbyPetPos]     Entities/SpaceEntities/PlayerComponent/ClientPetsComponent:973'}
{'TIMESTAMP': '2024-12-12 10:07:03', 'LEVEL': 'info', 'MODULE': 'ControllerSystem', 'MESSAGE': ' \t@bgf controlEntity\tZ0hiqZrYVkUqGKtT\t', 'CALLER': '[controlEntity]     GameApp/Controller/ControllerSystem:99'}
{'TIMESTAMP': '2024-12-12 10:07:03', 'LEVEL': 'info', 'MODULE': 'ControllerSystem', 'MESSAGE': ' \tswitchController from PlayerController to PlayerController\t', 'CALLER': '[switchController]     GameApp/Controller/ControllerSystem:122'}
{'TIMESTAMP': '2024-12-12 10:07:03', 'LEVEL': 'debug', 'MODULE': 'ClientMainPlayer', 'MESSAGE': ' \tset climbAcross height\t0.270\t0.700\t1.050\t1.400\t2.300\t', 'CALLER': '[refreshClimbAcrossConfig]     Entities/SpaceEntities/ClientMainPlayer:423'}
{'TIMESTAMP': '2024-12-12 10:07:04', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:05', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:05', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:05', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:05', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:06', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:06', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:06', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:06', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
{'TIMESTAMP': '2024-12-12 10:07:06', 'LEVEL': 'info', 'MODULE': 'AudioSystem', 'MESSAGE': ' \tplayBgm:\tnil\t4\tnil\tnil\t', 'CALLER': '[playBgm]     GameApp/Audio/AudioSystem:496'}
